timestamp,k,comando_l_hip_roll,real_l_hip_roll,erro_l_hip_roll,comando_l_knee,real_l_knee,erro_l_knee
1.76004e+09,61,-0.066893,-0.0669513,-5.82886e-05,0.609617,0.609597,-2.06685e-05
1.76004e+09,62,-0.0668349,-0.0669513,-0.000116383,0.609638,0.609597,-4.11687e-05
1.76004e+09,63,-0.066777,-0.066893,-0.000116,0.609658,0.609617,-4.08347e-05
1.76004e+09,64,-0.0667193,-0.0668349,-0.000115627,0.609678,0.609638,-4.0506e-05
1.76004e+09,65,-0.0666617,-0.066777,-0.000115262,0.609698,0.609658,-4.01824e-05
1.76004e+09,66,-0.0666044,-0.0667193,-0.000114906,0.609718,0.609678,-3.98636e-05
1.76004e+09,67,-0.0665472,-0.0666617,-0.000114558,0.609738,0.609698,-3.95494e-05
1.76004e+09,68,-0.0664901,-0.0665472,-5.70249e-05,0.609757,0.609738,-1.95429e-05
1.76004e+09,69,-0.0664333,-0.0665472,-0.000113885,0.609777,0.609738,-3.89342e-05
1.76004e+09,70,-0.0663766,-0.0664333,-5.66998e-05,0.609796,0.609777,-1.92417e-05
1.76004e+09,71,-0.06632,-0.0663766,-5.65428e-05,0.609815,0.609796,-1.90942e-05
1.76004e+09,72,-0.0662637,-0.06632,-5.63894e-05,0.609834,0.609815,-1.89487e-05
1.76004e+09,73,-0.0662074,-0.0662637,-5.62397e-05,0.609853,0.609834,-1.88051e-05
1.76004e+09,74,-0.0661513,-0.0662074,-5.60936e-05,0.609871,0.609853,-1.86636e-05
1.76004e+09,75,-0.0660954,-0.0661513,-5.59511e-05,0.60989,0.609871,-1.85239e-05
1.76004e+09,76,-0.0660396,-0.0660954,-5.58124e-05,0.609908,0.60989,-1.83862e-05
1.76004e+09,77,-0.0659839,-0.0660954,-0.00011149,0.609927,0.60989,-3.66367e-05
1.76004e+09,78,-0.0659283,-0.0659839,-5.55462e-05,0.609945,0.609927,-1.81166e-05
1.76004e+09,79,-0.0658729,-0.0659283,-5.54188e-05,0.609963,0.609945,-1.79846e-05
1.76004e+09,80,-0.0658176,-0.0658729,-5.52952e-05,0.609981,0.609963,-1.78544e-05
1.76004e+09,81,-0.0657624,-0.0658176,-5.51755e-05,0.609998,0.609981,-1.77261e-05
1.76004e+09,82,-0.0657074,-0.0657624,-5.50598e-05,0.610016,0.609998,-1.75997e-05
1.76004e+09,83,-0.0656524,-0.0657624,-0.000110008,0.610033,0.609998,-3.50747e-05
1.76004e+09,84,-0.0655976,-0.0657074,-0.000109788,0.610051,0.610016,-3.48272e-05
1.76004e+09,85,-0.0655429,-0.0655976,-5.47362e-05,0.610068,0.610051,-1.72311e-05
1.76004e+09,86,-0.0654882,-0.0655429,-5.46363e-05,0.610085,0.610068,-1.71118e-05
1.76004e+09,87,-0.0654337,-0.0654882,-5.45404e-05,0.610102,0.610085,-1.69943e-05
1.76004e+09,88,-0.0653792,-0.0654337,-5.44486e-05,0.610119,0.610102,-1.68784e-05
1.76004e+09,89,-0.0653249,-0.0653792,-5.43608e-05,0.610136,0.610119,-1.67643e-05
1.76004e+09,90,-0.0652706,-0.0653249,-5.42771e-05,0.610152,0.610136,-1.66518e-05
1.76004e+09,91,-0.0652164,-0.0652706,-5.41974e-05,0.610169,0.610152,-1.65409e-05
1.76004e+09,92,-0.0651623,-0.0652164,-5.41217e-05,0.610185,0.610169,-1.64317e-05
1.76004e+09,93,-0.0651082,-0.0651623,-5.40501e-05,0.610202,0.610185,-1.63241e-05
1.76004e+09,94,-0.0650542,-0.0651082,-5.39826e-05,0.610218,0.610202,-1.6218e-05
1.76004e+09,95,-0.0650003,-0.0650542,-5.3919e-05,0.610234,0.610218,-1.61134e-05
1.76004e+09,96,-0.0649465,-0.0650542,-0.000107779,0.61025,0.610218,-3.21237e-05
1.76004e+09,97,-0.0648927,-0.0650003,-0.000107664,0.610266,0.610234,-3.1919e-05
1.76004e+09,98,-0.0648389,-0.0648927,-5.37526e-05,0.610282,0.610266,-1.58086e-05
1.76004e+09,99,-0.0647852,-0.0648389,-5.37051e-05,0.610297,0.610282,-1.57098e-05
1.76004e+09,100,-0.0647315,-0.0647852,-5.36615e-05,0.610313,0.610297,-1.56125e-05
1.76004e+09,101,-0.0646779,-0.0647315,-5.3622e-05,0.610329,0.610313,-1.55165e-05
1.76004e+09,102,-0.0646243,-0.0647315,-0.000107208,0.610344,0.610313,-3.09382e-05
1.76004e+09,103,-0.0645708,-0.0646779,-0.000107141,0.610359,0.610329,-3.07502e-05
1.76004e+09,104,-0.0645173,-0.0646243,-0.000107082,0.610375,0.610344,-3.05647e-05
1.76004e+09,105,-0.0644637,-0.0645173,-5.35031e-05,0.61039,0.610375,-1.51454e-05
1.76004e+09,106,-0.0644103,-0.0644637,-5.34831e-05,0.610405,0.61039,-1.50558e-05
1.76004e+09,107,-0.0643568,-0.0644637,-0.00010695,0.61042,0.61039,-3.0023e-05
1.76004e+09,108,-0.0643033,-0.0643568,-5.34548e-05,0.610435,0.61042,-1.488e-05
1.76004e+09,109,-0.0642499,-0.0643033,-5.34465e-05,0.610449,0.610435,-1.47938e-05
1.76004e+09,110,-0.0641965,-0.0642499,-5.3442e-05,0.610464,0.610449,-1.47087e-05
1.76004e+09,111,-0.064143,-0.0641965,-5.34413e-05,0.610479,0.610464,-1.46246e-05
1.76004e+09,112,-0.0640896,-0.064143,-5.34444e-05,0.610493,0.610479,-1.45416e-05
1.76004e+09,113,-0.0640361,-0.0640896,-5.34513e-05,0.610508,0.610493,-1.44597e-05
1.76004e+09,114,-0.0639827,-0.0640361,-5.3462e-05,0.610522,0.610508,-1.43787e-05
1.76004e+09,115,-0.0639292,-0.0639827,-5.34765e-05,0.610536,0.610522,-1.42987e-05
1.76004e+09,116,-0.0638757,-0.0639292,-5.34948e-05,0.610551,0.610536,-1.42196e-05
1.76004e+09,117,-0.0638222,-0.0638757,-5.35168e-05,0.610565,0.610551,-1.41414e-05
1.76004e+09,118,-0.0637686,-0.0638222,-5.35426e-05,0.610579,0.610565,-1.40642e-05
1.76004e+09,119,-0.0637151,-0.0638222,-0.000107115,0.610593,0.610565,-2.80519e-05
1.76004e+09,120,-0.0636614,-0.0637151,-5.36054e-05,0.610607,0.610593,-1.39121e-05
1.76004e+09,121,-0.0636078,-0.0636614,-5.36423e-05,0.610621,0.610607,-1.38374e-05
1.76004e+09,122,-0.0635541,-0.0636078,-5.3683e-05,0.610634,0.610621,-1.37633e-05
1.76004e+09,123,-0.0635004,-0.0635541,-5.37274e-05,0.610648,0.610634,-1.36901e-05
1.76004e+09,124,-0.0634466,-0.0635004,-5.37755e-05,0.610662,0.610648,-1.36176e-05
1.76004e+09,125,-0.0633928,-0.0635004,-0.000107603,0.610675,0.610648,-2.71633e-05
1.76004e+09,126,-0.0633389,-0.0634466,-0.00010771,0.610689,0.610662,-2.70203e-05
1.76004e+09,127,-0.063285,-0.0633928,-0.000107825,0.610702,0.610675,-2.68787e-05
1.76004e+09,128,-0.063231,-0.063285,-5.40047e-05,0.610715,0.610702,-1.33343e-05
1.76004e+09,129,-0.0631769,-0.063231,-5.40711e-05,0.610729,0.610715,-1.3265e-05
1.76004e+09,130,-0.0631227,-0.0631769,-5.41412e-05,0.610742,0.610729,-1.31963e-05
1.76004e+09,131,-0.0630685,-0.0631769,-0.000108356,0.610755,0.610729,-2.63245e-05
1.76004e+09,132,-0.0630142,-0.0630685,-5.42924e-05,0.610768,0.610755,-1.30606e-05
1.76004e+09,133,-0.0629599,-0.0630142,-5.43734e-05,0.610781,0.610768,-1.29935e-05
