timestamp,k,comando_l_hip_roll,real_l_hip_roll,erro_l_hip_roll,comando_l_knee,real_l_knee,erro_l_knee
1.76004e+09,960,-0.104278,-0.104236,4.23778e-05,0.554168,0.554487,0.000319525
1.76004e+09,961,-0.104297,-0.104258,3.93122e-05,0.554009,0.554327,0.00031778
1.76004e+09,962,-0.104315,-0.104278,3.62484e-05,0.553852,0.554168,0.000316044
1.76004e+09,963,-0.10433,-0.104297,3.31865e-05,0.553695,0.554009,0.000314319
1.76004e+09,964,-0.104345,-0.10433,1.42982e-05,0.553539,0.553695,0.000155875
1.76004e+09,965,-0.104357,-0.104345,1.27692e-05,0.553384,0.553539,0.000155025
1.76004e+09,966,-0.104369,-0.104357,1.12408e-05,0.55323,0.553384,0.000154181
1.76004e+09,967,-0.104378,-0.104369,9.71304e-06,0.553077,0.55323,0.000153342
1.76004e+09,968,-0.104387,-0.104378,8.18582e-06,0.552924,0.553077,0.000152508
1.76004e+09,969,-0.104393,-0.104387,6.65906e-06,0.552772,0.552924,0.00015168
1.76004e+09,970,-0.104398,-0.104387,1.17918e-05,0.552622,0.552924,0.000302537
1.76004e+09,971,-0.104402,-0.104398,3.60669e-06,0.552472,0.552622,0.00015004
1.76004e+09,972,-0.104404,-0.104402,2.08095e-06,0.552322,0.552472,0.000149229
1.76004e+09,973,-0.104405,-0.104404,5.55429e-07,0.552174,0.552322,0.000148423
1.76004e+09,974,-0.104404,-0.104404,-4.14521e-07,0.552026,0.552322,0.000296046
1.76004e+09,975,-0.104401,-0.104404,-2.49525e-06,0.551879,0.552026,0.000146829
1.76004e+09,976,-0.104397,-0.104404,-6.51577e-06,0.551733,0.552026,0.00029287
1.76004e+09,977,-0.104392,-0.104401,-9.56638e-06,0.551588,0.551879,0.000291299
1.76004e+09,978,-0.104384,-0.104397,-1.26171e-05,0.551444,0.551733,0.00028974
1.76004e+09,979,-0.104376,-0.104392,-1.56682e-05,0.5513,0.551588,0.000288193
1.76004e+09,980,-0.104366,-0.104384,-1.87197e-05,0.551157,0.551444,0.000286659
1.76004e+09,981,-0.104354,-0.104366,-1.16489e-05,0.551015,0.551157,0.000142189
1.76004e+09,982,-0.104341,-0.104354,-1.31755e-05,0.550873,0.551015,0.000141437
1.76004e+09,983,-0.104326,-0.104354,-2.78779e-05,0.550733,0.551015,0.000282129
1.76004e+09,984,-0.10431,-0.104326,-1.62299e-05,0.550593,0.550733,0.000139953
1.76004e+09,985,-0.104292,-0.104326,-3.39878e-05,0.550454,0.550733,0.000279172
1.76004e+09,986,-0.104273,-0.10431,-3.70445e-05,0.550315,0.550593,0.000277713
1.76004e+09,987,-0.104252,-0.104273,-2.08159e-05,0.550177,0.550315,0.000137774
1.76004e+09,988,-0.10423,-0.104252,-2.2346e-05,0.55004,0.550177,0.00013706
1.76004e+09,989,-0.104206,-0.10423,-2.3877e-05,0.549904,0.55004,0.000136354
1.76004e+09,990,-0.104181,-0.104206,-2.54088e-05,0.549768,0.549904,0.000135654
1.76004e+09,991,-0.104154,-0.104181,-2.69416e-05,0.549633,0.549768,0.000134961
1.76004e+09,992,-0.104125,-0.104154,-2.84754e-05,0.549499,0.549633,0.000134275
1.76004e+09,993,-0.104095,-0.104154,-5.84856e-05,0.549365,0.549633,0.00026787
1.76004e+09,994,-0.104064,-0.104095,-3.15463e-05,0.549232,0.549365,0.000132923
1.76004e+09,995,-0.10403,-0.104095,-6.46298e-05,0.5491,0.549365,0.000265182
1.76004e+09,996,-0.103996,-0.10403,-3.4622e-05,0.548969,0.5491,0.0001316
1.76004e+09,997,-0.10396,-0.103996,-3.61619e-05,0.548838,0.548969,0.000130949
1.76004e+09,998,-0.103922,-0.10396,-3.77031e-05,0.548707,0.548838,0.000130306
1.76004e+09,999,-0.103883,-0.103922,-3.92459e-05,0.548578,0.548707,0.000129669
1.76004e+09,1000,-0.103842,-0.103883,-4.07901e-05,0.548449,0.548578,0.000129041
1.76004e+09,1001,-0.1038,-0.103842,-4.2336e-05,0.54832,0.548449,0.000128419
1.76004e+09,1002,-0.103756,-0.1038,-4.38836e-05,0.548192,0.54832,0.000127805
