k,ZMP_ref_x,ZMP_ref_y,ZMP_x,COM_x,ZMP_y,COM_y
4025,0.2,-0.05,0.200336,0.188755,-0.0506709,-0.0272604
4026,0.2,-0.05,0.200332,0.188832,-0.0506626,-0.0274119
4027,0.2,-0.05,0.200328,0.188908,-0.0506548,-0.0275623
4028,0.2,-0.05,0.200324,0.188984,-0.0506472,-0.0277117
4029,0.2,-0.05,0.200321,0.18906,-0.0506401,-0.0278601
4030,0.2,-0.05,0.200317,0.189134,-0.0506333,-0.0280075
4031,0.2,-0.05,0.200314,0.189209,-0.0506269,-0.0281538
4032,0.2,-0.05,0.200311,0.189283,-0.0506209,-0.0282992
4033,0.2,-0.05,0.200308,0.189356,-0.0506151,-0.0284436
4034,0.2,-0.05,0.200306,0.189429,-0.0506097,-0.0285869
4035,0.2,-0.05,0.200303,0.189501,-0.0506045,-0.0287293
4036,0.2,-0.05,0.2003,0.189573,-0.0505996,-0.0288708
4037,0.2,-0.05,0.200298,0.189645,-0.0505948,-0.0290112
4038,0.2,-0.05,0.200296,0.189716,-0.0505903,-0.0291507
4039,0.2,-0.05,0.200294,0.189786,-0.050586,-0.0292892
4040,0.2,-0.05,0.200292,0.189856,-0.0505818,-0.0294268
4041,0.2,-0.05,0.20029,0.189926,-0.0505778,-0.0295634
4042,0.2,-0.05,0.200288,0.189995,-0.0505739,-0.0296991
4043,0.2,-0.05,0.200286,0.190064,-0.0505701,-0.0298339
4044,0.2,-0.05,0.200284,0.190132,-0.0505663,-0.0299678
4045,0.2,-0.05,0.200282,0.1902,-0.0505627,-0.0301007
4046,0.2,-0.05,0.20028,0.190267,-0.0505591,-0.0302327
4047,0.2,-0.05,0.200278,0.190334,-0.0505555,-0.0303638
4048,0.2,-0.05,0.200277,0.1904,-0.050552,-0.030494
4049,0.2,-0.05,0.200275,0.190466,-0.0505486,-0.0306233
4050,0.2,-0.05,0.200273,0.190532,-0.0505451,-0.0307518
4051,0.2,-0.05,0.200271,0.190597,-0.0505417,-0.0308793
4052,0.2,-0.05,0.20027,0.190662,-0.0505383,-0.031006
4053,0.2,-0.05,0.200268,0.190726,-0.0505349,-0.0311318
4054,0.2,-0.05,0.200266,0.19079,-0.0505315,-0.0312567
4055,0.2,-0.05,0.200265,0.190853,-0.0505282,-0.0313808
4056,0.2,-0.05,0.200263,0.190916,-0.0505248,-0.031504
4057,0.2,-0.05,0.200261,0.190979,-0.0505215,-0.0316264
4058,0.2,-0.05,0.20026,0.191041,-0.0505181,-0.0317479
4059,0.2,-0.05,0.200258,0.191103,-0.0505148,-0.0318686
4060,0.2,-0.05,0.200256,0.191164,-0.0505115,-0.0319884
4061,0.2,-0.05,0.200255,0.191225,-0.0505082,-0.0321075
4062,0.2,-0.05,0.200253,0.191285,-0.0505049,-0.0322257
4063,0.2,-0.05,0.200251,0.191346,-0.0505016,-0.0323431
4064,0.2,-0.05,0.20025,0.191405,-0.0504983,-0.0324596
4065,0.2,-0.05,0.200248,0.191465,-0.050495,-0.0325754
4066,0.2,-0.05,0.200246,0.191524,-0.0504917,-0.0326904
4067,0.2,-0.05,0.200245,0.191582,-0.0504885,-0.0328046
4068,0.2,-0.05,0.200243,0.19164,-0.0504853,-0.032918
